@relation 'churn-weka.filters.unsupervised.attribute.Remove-R1,3-4,10,13,16,19-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R12-precision6-weka.filters.unsupervised.attribute.Remove-R1-4,6,8,10,12-13'

@attribute 'Day Mins' {low,medium,high}
@attribute 'Eve Mins' {low,medium,high}
@attribute 'Night Mins' {low,medium,high}
@attribute 'Intl Mins' {low,medium,high}
@attribute Churn? {False.,True.}

@data
medium,medium,high,medium,False.
high,low,medium,medium,False.
medium,high,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,high,True.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
low,medium,medium,low,False.
medium,low,medium,high,True.
medium,high,low,medium,False.
medium,medium,medium,medium,True.
medium,high,low,medium,False.
medium,medium,high,medium,False.
medium,medium,low,medium,True.
high,high,high,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
high,medium,medium,medium,True.
medium,low,high,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,high,True.
medium,medium,low,high,True.
medium,medium,medium,medium,False.
medium,low,low,medium,False.
medium,medium,medium,medium,False.
low,medium,high,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,medium,low,False.
medium,low,low,medium,False.
medium,medium,high,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
low,medium,medium,medium,True.
medium,medium,medium,medium,False.
low,medium,low,medium,False.
high,medium,medium,medium,False.
high,medium,high,medium,False.
medium,high,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,high,False.
low,high,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,low,medium,False.
medium,medium,high,medium,False.
high,high,medium,medium,True.
high,high,medium,medium,True.
medium,medium,medium,high,True.
low,low,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,low,medium,False.
medium,medium,low,low,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
high,high,medium,medium,True.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,low,medium,False.
medium,high,medium,medium,False.
medium,low,medium,high,False.
medium,high,medium,medium,False.
low,medium,medium,medium,False.
low,medium,low,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,low,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,high,high,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,high,low,medium,False.
high,medium,medium,low,False.
medium,medium,high,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,high,True.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,high,medium,low,False.
medium,high,medium,high,False.
medium,medium,medium,medium,False.
high,medium,medium,high,True.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,low,False.
medium,medium,low,medium,False.
high,high,medium,medium,False.
medium,high,medium,medium,False.
high,medium,medium,medium,False.
low,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
high,medium,medium,low,False.
high,medium,low,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
high,medium,low,high,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,high,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
high,medium,high,medium,True.
medium,medium,medium,high,True.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
medium,high,medium,medium,True.
medium,medium,high,high,False.
medium,high,medium,medium,False.
high,medium,low,medium,False.
low,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,high,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,high,low,high,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,medium,False.
high,medium,medium,medium,False.
low,medium,medium,medium,False.
high,medium,low,medium,False.
medium,medium,low,medium,False.
medium,medium,low,high,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,high,medium,False.
high,medium,medium,medium,True.
medium,high,medium,medium,False.
high,medium,low,medium,False.
medium,high,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,high,False.
medium,medium,medium,medium,False.
medium,medium,low,medium,False.
high,high,medium,medium,True.
medium,medium,medium,medium,False.
medium,high,medium,low,False.
medium,low,medium,low,False.
medium,medium,medium,medium,False.
medium,high,medium,low,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,True.
high,medium,high,medium,False.
medium,medium,low,low,False.
high,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,low,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,high,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,low,low,high,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
high,high,medium,medium,True.
low,medium,low,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,high,True.
high,high,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,high,high,False.
medium,medium,medium,medium,True.
high,high,medium,medium,True.
high,medium,medium,medium,False.
medium,medium,medium,high,True.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
high,medium,medium,medium,True.
medium,medium,medium,high,False.
low,high,low,medium,False.
high,high,high,high,False.
low,medium,medium,medium,False.
low,medium,high,medium,False.
medium,medium,medium,low,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,high,medium,False.
high,high,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,high,medium,True.
medium,medium,medium,medium,False.
low,medium,medium,low,False.
low,medium,low,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
high,high,medium,medium,True.
medium,medium,medium,medium,False.
high,medium,low,medium,False.
medium,high,medium,medium,True.
medium,medium,high,medium,False.
medium,medium,low,medium,False.
low,medium,low,medium,False.
medium,high,high,medium,False.
high,high,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,high,medium,medium,True.
medium,medium,high,medium,False.
low,high,medium,medium,True.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
high,high,low,medium,True.
medium,high,medium,medium,False.
medium,high,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,True.
medium,low,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
low,high,low,medium,False.
low,medium,low,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,high,False.
medium,high,medium,medium,False.
medium,high,medium,high,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,True.
medium,medium,medium,medium,True.
medium,high,medium,medium,False.
low,medium,medium,medium,False.
low,high,medium,medium,False.
low,medium,low,low,False.
medium,high,medium,low,False.
high,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,high,low,medium,False.
medium,medium,medium,low,False.
high,medium,low,low,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,True.
medium,low,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
high,medium,medium,low,False.
medium,high,medium,medium,True.
medium,high,medium,medium,False.
high,medium,medium,medium,True.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,True.
low,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,high,False.
medium,medium,low,medium,False.
low,low,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,low,medium,high,False.
medium,medium,medium,medium,True.
high,medium,medium,high,True.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
low,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
low,medium,medium,high,False.
medium,medium,high,medium,False.
medium,medium,low,low,False.
low,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,high,False.
high,medium,medium,medium,True.
high,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,high,low,medium,False.
low,medium,medium,high,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,high,medium,medium,False.
medium,medium,low,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,high,medium,False.
medium,high,medium,medium,False.
medium,medium,low,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
low,medium,medium,medium,False.
medium,high,low,high,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,low,low,low,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,low,False.
medium,medium,medium,medium,False.
high,high,medium,medium,False.
high,high,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,low,low,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
low,medium,low,medium,False.
medium,low,high,medium,False.
high,medium,medium,low,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,high,medium,False.
medium,medium,high,medium,False.
high,medium,low,medium,False.
medium,high,medium,medium,False.
medium,high,low,medium,False.
medium,low,medium,medium,False.
medium,medium,low,low,False.
medium,medium,medium,medium,False.
high,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,high,high,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
high,medium,medium,medium,True.
high,low,medium,high,False.
medium,medium,medium,medium,True.
medium,low,medium,medium,False.
low,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
low,high,low,medium,False.
medium,medium,medium,medium,False.
low,high,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,True.
medium,high,low,medium,False.
high,medium,medium,low,False.
medium,medium,medium,low,False.
medium,medium,medium,high,True.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,low,medium,False.
medium,high,medium,low,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
high,high,medium,low,True.
medium,high,medium,medium,True.
low,medium,low,high,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,low,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,high,medium,high,False.
medium,medium,high,medium,False.
medium,medium,medium,high,False.
high,medium,medium,low,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,high,high,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
high,medium,low,low,True.
medium,medium,high,medium,True.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,low,False.
medium,high,medium,high,False.
medium,medium,medium,medium,True.
medium,low,medium,medium,True.
high,medium,medium,medium,True.
medium,medium,medium,medium,True.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,high,high,False.
high,low,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,high,medium,medium,False.
high,high,medium,medium,True.
medium,medium,low,high,True.
low,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,low,low,True.
medium,high,medium,medium,False.
medium,medium,medium,high,True.
medium,medium,medium,medium,False.
low,high,medium,medium,False.
low,medium,low,medium,False.
medium,high,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,high,high,False.
low,medium,medium,low,False.
medium,medium,high,medium,True.
medium,high,medium,medium,False.
low,medium,low,medium,False.
medium,medium,medium,medium,False.
high,high,medium,medium,True.
medium,medium,medium,medium,True.
medium,medium,medium,medium,True.
low,medium,medium,high,False.
medium,medium,low,low,False.
medium,medium,medium,low,False.
low,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,True.
high,medium,medium,medium,False.
medium,high,medium,high,False.
medium,medium,medium,medium,False.
low,high,medium,medium,True.
medium,medium,medium,medium,False.
low,high,medium,medium,False.
high,high,medium,medium,False.
medium,medium,medium,medium,False.
low,high,high,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,high,low,False.
low,medium,medium,medium,False.
high,high,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,low,low,high,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,low,high,False.
medium,medium,medium,medium,False.
low,high,medium,medium,False.
low,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,high,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,high,medium,low,True.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,low,medium,True.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
high,medium,high,medium,False.
medium,high,medium,medium,True.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,high,medium,medium,False.
low,high,high,medium,False.
high,high,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,high,high,medium,False.
low,high,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,high,medium,True.
high,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,low,low,False.
medium,medium,medium,medium,False.
high,medium,medium,high,False.
medium,medium,low,medium,False.
medium,high,medium,high,False.
medium,high,medium,high,False.
medium,medium,high,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,high,medium,medium,False.
low,medium,medium,low,True.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,high,medium,medium,True.
low,medium,medium,high,False.
low,medium,medium,medium,True.
high,medium,medium,medium,True.
medium,medium,medium,low,False.
medium,medium,medium,high,False.
medium,high,medium,medium,True.
low,medium,medium,medium,False.
low,high,medium,high,False.
high,high,medium,medium,True.
medium,high,medium,medium,False.
low,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,low,medium,False.
low,high,medium,medium,False.
medium,medium,medium,low,False.
medium,high,low,medium,False.
high,medium,low,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,high,False.
medium,medium,medium,high,False.
high,high,low,medium,True.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,low,medium,True.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,high,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,high,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
high,medium,medium,medium,True.
high,high,medium,medium,True.
medium,medium,medium,low,False.
medium,high,medium,high,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,True.
medium,medium,high,medium,False.
medium,high,medium,medium,False.
medium,medium,low,medium,True.
high,medium,medium,low,False.
medium,medium,low,high,False.
high,high,high,high,False.
medium,high,medium,high,True.
medium,medium,low,medium,False.
medium,high,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,low,low,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
high,medium,low,medium,False.
high,high,low,medium,True.
medium,medium,low,medium,False.
low,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,True.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,high,medium,medium,False.
medium,medium,low,medium,False.
high,high,medium,medium,True.
medium,high,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,low,medium,low,False.
medium,high,medium,low,False.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
high,medium,high,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
high,high,medium,high,True.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
high,medium,medium,medium,False.
high,medium,low,high,False.
medium,medium,medium,high,False.
high,high,low,high,True.
high,medium,medium,medium,False.
low,high,medium,high,True.
medium,medium,high,medium,False.
medium,medium,medium,high,True.
low,medium,medium,medium,False.
high,medium,high,medium,True.
medium,medium,low,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,high,medium,medium,True.
low,medium,medium,medium,False.
medium,medium,high,low,False.
medium,high,medium,medium,False.
high,medium,medium,medium,True.
high,medium,medium,high,False.
medium,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
low,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,low,high,False.
medium,high,medium,medium,False.
high,medium,high,high,True.
medium,high,medium,medium,False.
medium,medium,medium,high,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,high,low,medium,False.
high,high,medium,medium,True.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
low,medium,low,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,low,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,medium,low,medium,False.
low,medium,low,medium,False.
high,medium,medium,medium,True.
low,medium,medium,medium,False.
high,high,medium,high,True.
medium,high,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,high,False.
high,medium,high,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,low,False.
medium,medium,medium,high,False.
medium,medium,medium,medium,False.
medium,low,high,medium,False.
high,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,False.
medium,high,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
high,medium,medium,high,True.
medium,high,low,high,True.
medium,high,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
low,high,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,low,medium,False.
medium,medium,low,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,medium,low,medium,False.
low,medium,medium,medium,True.
medium,medium,medium,high,False.
high,medium,high,low,True.
medium,medium,medium,medium,False.
medium,medium,medium,high,False.
medium,medium,low,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,high,medium,medium,False.
medium,medium,low,medium,False.
medium,high,high,low,False.
medium,medium,medium,medium,False.
low,medium,low,medium,False.
high,medium,medium,high,True.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,high,medium,high,False.
medium,medium,medium,medium,False.
low,high,medium,medium,False.
low,high,low,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,low,False.
medium,medium,medium,medium,False.
medium,medium,medium,low,True.
high,medium,medium,low,True.
medium,medium,medium,medium,True.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
medium,high,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,high,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
medium,high,medium,medium,False.
high,high,medium,medium,True.
medium,medium,low,medium,True.
low,high,medium,medium,True.
low,medium,medium,medium,False.
high,high,medium,medium,False.
medium,medium,high,medium,False.
medium,low,medium,medium,False.
medium,high,medium,low,False.
low,high,medium,medium,False.
high,medium,medium,high,False.
high,high,medium,medium,True.
low,medium,medium,medium,False.
high,low,medium,high,False.
medium,medium,low,medium,False.
low,medium,medium,medium,False.
medium,medium,medium,medium,False.
high,medium,medium,medium,True.
medium,high,high,low,False.
medium,medium,medium,high,False.
high,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,high,low,medium,False.
medium,medium,medium,high,False.
medium,medium,low,medium,False.
medium,high,medium,medium,False.
medium,medium,medium,low,False.
medium,high,medium,medium,False.
medium,low,medium,medium,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,False.
low,medium,medium,medium,False.
medium,high,medium,medium,False.
high,medium,medium,high,True.
low,medium,low,medium,False.
medium,medium,low,medium,False.
medium,medium,low,medium,True.
medium,medium,high,medium,False.
high,medium,medium,low,False.
medium,high,low,medium,False.
medium,medium,low,high,False.
high,medium,medium,medium,True.
medium,medium,low,high,False.
medium,medium,medium,medium,False.
medium,medium,medium,medium,True.
